Apparent_Magnitude,Redshift,FWHM_pixels,Color_g_minus_r,Ellipticity,Signal_to_Noise,Label
13.805,8.8e-05,1.534,0.514,0.053,70.75,0
21.375,0.558864,3.048,0.853,0.594,43.01,1
19.386,0.315656,2.783,1.076,0.449,29.81,1
17.509,8e-05,1.129,0.339,0.006,51.14,0
20.717,0.158095,4.918,1.519,0.528,38.01,1
22.435,0.412183,4.084,0.837,0.444,41.36,1
17.277,0.462806,4.48,1.65,0.53,37.65,1
18.704,0.095274,3.975,0.783,0.172,50.27,1
14.059,0.000281,1.356,0.478,0.013,66.16,0
20.26,0.333637,3.843,1.897,0.432,38.92,1
20.509,0.387189,3.0,1.437,0.442,39.37,1
18.88,0.439477,4.627,1.532,0.464,19.39,1
17.728,0.498709,5.233,1.329,0.289,38.73,1
17.65,0.272383,5.077,0.778,0.414,1.81,1
24.459,0.579039,2.759,1.423,0.345,14.77,1
21.095,0.304057,4.333,1.102,0.421,29.45,1
22.224,0.489112,3.889,1.325,0.432,17.76,1
15.254,0.650438,2.773,1.061,0.544,29.88,1
14.189,0.000259,0.989,0.596,0.036,21.11,0
25.629,0.583651,4.924,1.496,0.338,33.94,1
20.437,0.531791,2.96,1.365,0.607,45.24,1
22.942,0.384348,4.495,1.185,0.22,26.93,1
23.038,0.307825,4.177,0.669,0.224,12.12,1
15.111,6.5e-05,0.983,0.181,0.0,67.5,0
15.459,0.013375,3.192,1.418,0.468,38.87,1
18.797,0.288232,4.087,0.759,0.07,31.71,1
17.818,0.652521,4.367,0.851,0.272,20.36,1
21.192,0.349725,5.003,1.746,0.237,19.57,1
21.736,0.433913,3.024,0.604,0.615,15.31,1
18.765,0.376165,3.373,1.13,0.439,23.44,1
23.58,0.427359,5.777,0.852,0.345,40.13,1
22.307,0.424431,4.102,1.034,0.295,22.86,1
22.695,0.360034,3.543,1.04,0.304,30.17,1
23.369,0.464049,3.593,1.304,0.512,38.46,1
21.76,0.314072,3.029,1.345,0.433,32.1,1
22.332,0.294487,4.021,1.373,0.422,30.77,1
21.075,0.491553,4.006,1.511,0.287,31.04,1
27.199,0.483612,3.906,0.862,0.344,11.61,1
22.365,0.493992,3.901,1.076,0.275,32.4,1
17.005,0.443274,3.07,0.854,0.562,31.31,1
22.607,0.480522,4.384,1.163,0.305,38.56,1
20.716,0.626669,2.065,1.388,0.411,38.19,1
22.506,0.729534,5.312,1.148,0.456,25.41,1
19.816,0.685886,4.223,1.305,0.174,24.08,1
20.541,0.484211,2.731,0.742,0.364,31.59,1
